,geometry,osid,theme,changetype,name1_text,name2_text,roadlinkid,description,versiondate,name1_language,name2_language,routehierarchy,geometry_length_m,alternatename1_text,alternatename2_text,capturespecification,versionavailabletodate,alternatename1_language,alternatename2_language,roadclassificationnumber,versionavailablefromdate,presenceofpavement_source,presenceofpavement_sideofroad,presenceofpavement_updatedate,presenceofpavement_evidencedate,presenceofpavement_capturemethod,presenceofpavement_averagewidth_m,presenceofpavement_minimumwidth_m
9,"LINESTRING (-2.9655101 54.8856507, -2.9653177 54.8857758)",c799d44e-0e0f-437e-9395-a8b35ce80027,Transport,New,Wigton Road,,4d2f3bdb-eceb-426c-9102-29ee1d7109fe,Pavement,2023-09-14,,,A Road,18.612,,,Urban,,,,A595,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2014-07-11,Automated Process,2.17,1.23
10,"LINESTRING (-2.9645186 54.8850673, -2.9645564 54.8851366, -2.9646043 54.8851812, -2.9646359 54.8851989, -2.9650346 54.8854053)",fa0b149a-01b7-415c-b313-9aea0a914658,Transport,New,Dunmallet Rigg,,2f00e3cb-67bd-4ab5-b3ec-f228425bd36c,Pavement,2023-09-14,,,Local Road,51.132,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2014-07-11,Automated Process,1.66,0.96
0,"LINESTRING (0.5481077 51.3743147, 0.5482414 51.3742917)",0aa151ae-ab7f-44f9-a0e1-43c321ca7522,Transport,Modified Attributes,Rainham Road,,c3d6c155-c12c-44cc-863a-64e900e0dc67,Pavement,2023-11-10,,,A Road,9.655,,,Urban,,,,A2,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-05-21,Automated Process,2.05,1.7
1,"LINESTRING (0.5483345 51.3742925, 0.5483361 51.3743207, 0.5483157 51.3745458)",175162e3-95e5-4387-909d-9b46434a01ac,Transport,Modified Attributes,Milton Road,,5933828f-d59c-47de-8919-377a1a4a5b4a,Pavement,2023-11-10,,,Local Road,28.229,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2021-05-31,Automated Process,1.88,1.35
2,"LINESTRING (0.5484822 51.374251, 0.5489027 51.3741735, 0.5492037 51.3741157, 0.5492724 51.3741025)",213c9a41-ab7d-4cee-8bd6-2104ac5cdde4,Transport,Modified Attributes,Rainham Road,,b889e73a-13a8-4f8c-b098-2652b7aa661f,Pavement,2023-11-10,,,A Road,57.451,,,Urban,,,,A2,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2017-08-06,Automated Process,1.87,1.26
3,"LINESTRING (0.5483336 51.3742758, 0.5484035 51.3742655, 0.5484049 51.3742653, 0.5484353 51.3742597)",2e123740-01c0-4d88-9fae-7e1cdf9a9b9e,Transport,New,Rainham Road,,5b0e0d63-4bc6-43b1-aaf7-e32b551df244,Pavement,2023-09-14,,,A Road,7.31,,,Urban,,,,A2,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2017-08-06,Automated Process,1.43,1.43
4,"LINESTRING (0.5474251 51.3744194, 0.5476057 51.3743938)",439f813b-bcf0-414e-a99a-f546c7429963,Transport,New,Rainham Road,,6b7c4881-9409-4ffc-ba31-f550a7259e8c,Pavement,2023-09-14,,,A Road,12.892,,,Urban,,,,A2,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2017-08-06,Automated Process,2.37,1.21
5,"LINESTRING (0.5483157 51.3745465, 0.5483032 51.374684)",44e9a239-0dbb-47f9-b556-8f447d0a53dd,Transport,New,Milton Road,,dad8231e-a826-4a66-8e59-93c4755351ea,Pavement,2023-09-14,,,Local Road,15.325,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2021-05-31,Automated Process,1.54,1.21
6,"LINESTRING (0.5476989 51.3743805, 0.5477071 51.3743794, 0.547907 51.374357, 0.5480347 51.3743273, 0.5481077 51.3743147)",4b288516-c681-42b3-b0fc-198718e95665,Transport,New,Rainham Road,,6b7c4881-9409-4ffc-ba31-f550a7259e8c,Pavement,2023-09-14,,,A Road,29.482,,,Urban,,,,A2,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2017-08-06,Automated Process,2.42,0.6
7,"LINESTRING (0.5484615 51.3742549, 0.5489027 51.3741735, 0.5491853 51.3741192)",51497c39-ea9a-4694-8f42-fffc47488ab1,Transport,Modified Attributes,Rainham Road,,b889e73a-13a8-4f8c-b098-2652b7aa661f,Pavement,2023-11-10,,,A Road,52.614,,,Urban,,,,A2,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2021-05-31,Automated Process,2.42,1.29
8,"LINESTRING (0.5471083 51.3744643, 0.5474251 51.3744194)",64281d43-c252-463c-813b-f0498aef9cb3,Transport,Modified Attributes,Rainham Road,,ec3327ce-3a65-4f45-8a0b-fea46ef6b7c9,Pavement,2023-11-10,,,A Road,22.624,,,Urban,,,,A2,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2017-08-06,Automated Process,2.22,1.26
9,"LINESTRING (0.5481077 51.3743147, 0.5482644 51.3742877, 0.5483336 51.3742758)",741f9f3c-e8e2-4277-9563-eeb20b9c7a99,Transport,Modified Attributes,Rainham Road,,c3d6c155-c12c-44cc-863a-64e900e0dc67,Pavement,2023-11-10,,,A Road,16.317,,,Urban,,,,A2,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2017-08-06,Automated Process,1.7,1.09
10,"LINESTRING (0.5471454 51.3744591, 0.5474251 51.3744194)",7df55844-3659-44f3-97c2-ba4ad9bc2777,Transport,New,Rainham Road,,ec3327ce-3a65-4f45-8a0b-fea46ef6b7c9,Pavement,2023-11-10,,,A Road,19.972,,,Urban,,,,A2,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-05-21,Automated Process,2.27,1.47
11,"LINESTRING (0.5483601 51.3742719, 0.5484035 51.3742655, 0.5484049 51.3742653, 0.5484593 51.3742553)",82d144a0-42f4-47b5-aaf5-b71bbc01ab4f,Transport,New,Rainham Road,,5b0e0d63-4bc6-43b1-aaf7-e32b551df244,Pavement,2023-09-14,,,A Road,7.158,,,Urban,,,,A2,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2021-05-31,Automated Process,2.06,1.17
12,"LINESTRING (0.5483157 51.3745465, 0.5483032 51.374684)",9bfd8592-9f69-4422-96d6-5ca16f5f01a2,Transport,New,Milton Road,,dad8231e-a826-4a66-8e59-93c4755351ea,Pavement,2023-09-14,,,Local Road,15.325,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-05-21,Automated Process,1.53,1.53
13,"LINESTRING (0.5483341 51.3743431, 0.5483157 51.3745465)",af08c3d4-053f-4c3c-8235-fe05c26ed0af,Transport,Modified Attributes,Milton Road,,5933828f-d59c-47de-8919-377a1a4a5b4a,Pavement,2023-11-10,,,Local Road,22.658,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-05-21,Automated Process,1.83,0.92
14,"LINESTRING (0.5474264 51.3744192, 0.5477071 51.3743794, 0.547907 51.374357, 0.5480347 51.3743273, 0.5481059 51.374315)",e9624d2b-b12c-4e12-8f1c-1326e4aaa2cc,Transport,New,Rainham Road,,6b7c4881-9409-4ffc-ba31-f550a7259e8c,Pavement,2023-09-14,,,A Road,48.809,,,Urban,,,,A2,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-05-21,Automated Process,2.06,0.55
0,"LINESTRING (-2.6804512 51.6378975, -2.6799822 51.6378817, -2.6796912 51.6378835, -2.679536 51.6378919, -2.6790794 51.6379167, -2.6788765 51.6379407)",0831c040-02bf-4008-9719-08615bbe08d1,Transport,Modified Attributes,Hardwick Hill,,8a8bb397-c996-43c9-8303-25953415fcb1,Pavement,2023-11-10,,,A Road Primary,109.437,,,Urban,,,,A48,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2004-02-24,Automated Process,0.64,0.64
1,"LINESTRING (-2.6788633 51.6379173, -2.6787548 51.6377255, -2.6783706 51.637013, -2.6783353 51.6369657)",08f0cadb-1d87-4dc2-9361-bc203abb7aa6,Transport,Modified Attributes,Bulwark Road,,54450f8a-e76e-4089-af83-7b1ad55dab4d,Pavement,2023-11-10,,,Minor Road,112.0,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2022-07-11,Automated Process,1.27,0.92
2,"LINESTRING (-2.6785944 51.6381416, -2.6786233 51.6381558)",22a2be17-d161-4dd2-9d12-419f5c730697,Transport,Modified Attributes,Hardwick Hill Lane,,93f4bc14-060b-468a-9810-0fff81b10cd6,Pavement,2023-11-10,,,Local Road,2.541,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-10-31,Automated Process,0.96,0.55
3,"LINESTRING (-2.678503 51.6381249, -2.678478 51.6381409, -2.6784418 51.6381753, -2.6784275 51.6382467, -2.6784304 51.638269, -2.6784498 51.6384171, -2.6784764 51.6386604, -2.6784715 51.6387107)",634188dc-f19b-4c62-9852-d7ecf5959ee2,Transport,Modified Attributes,Mount Pleasant,,5415edd8-1648-4492-837f-5d71db18b5db,Pavement,2023-11-10,,,A Road Primary,66.795,,,Urban,,,,A48,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-10-31,Automated Process,1.88,0.55
4,"LINESTRING (-2.6788602 51.6379119, -2.6787548 51.6377255, -2.6783706 51.637013, -2.6783511 51.6369869)",79b98067-ffc3-4e9e-a0a7-dc787e625107,Transport,Modified Attributes,Bulwark Road,,54450f8a-e76e-4089-af83-7b1ad55dab4d,Pavement,2023-11-10,,,Minor Road,108.754,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2004-02-24,Automated Process,2.95,1.03
5,"LINESTRING (-2.6785213 51.6381132, -2.678478 51.6381409, -2.6784418 51.6381753, -2.6784275 51.6382467, -2.6784304 51.638269, -2.6784498 51.6384171, -2.6784764 51.6386604, -2.6784713 51.6387121, -2.6784705 51.6387149)",93fe87cf-d9c0-427e-a742-e117d1bb585c,Transport,Modified Attributes,Mount Pleasant,,5415edd8-1648-4492-837f-5d71db18b5db,Pavement,2023-11-10,,,A Road Primary,69.088,,,Urban,,,,A48,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2022-07-11,Automated Process,2.51,0.85
6,"LINESTRING (-2.6785907 51.6381398, -2.6787237 51.6382048, -2.6787633 51.6382241)",a10ef4c7-9d9c-490e-8916-d4816c3e90c7,Transport,New,Hardwick Hill Lane,,93f4bc14-060b-468a-9810-0fff81b10cd6,Pavement,2023-11-10,,,Local Road,15.183,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2020-11-12,Automated Process,1.95,0.63
7,"LINESTRING (-2.6805173 51.6378997, -2.6799822 51.6378817, -2.6797559 51.6378831, -2.6796912 51.6378835, -2.6796709 51.6378846, -2.6795971 51.6378886, -2.6795435 51.6378915, -2.679536 51.6378919, -2.6790794 51.6379167, -2.678925 51.637935)",b65a49e5-a9e9-45f4-be0d-519d5137fffd,Transport,Modified Attributes,Hardwick Hill,,8a8bb397-c996-43c9-8303-25953415fcb1,Pavement,2023-11-10,,,A Road Primary,110.597,,,Urban,,,,A48,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2004-02-24,Automated Process,2.38,0.79
8,"LINESTRING (-2.6788361 51.637952, -2.6788167 51.6379574, -2.6787503 51.6379841, -2.6786376 51.63803, -2.6785278 51.6381091)",dcd7a371-2a20-4e3d-94a2-d6f2705cbbfe,Transport,Modified Attributes,Hardwick Hill,,6bda2b7a-aae1-47a7-8098-4be25835c895,Pavement,2023-11-10,,,A Road Primary,27.888,,,Urban,,,,A48,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2022-07-11,Automated Process,1.6,1.01
9,"LINESTRING (-2.6788765 51.6379407, -2.6788167 51.6379574, -2.6787503 51.6379841, -2.6786376 51.63803, -2.6785581 51.6380873)",f3393b22-dce4-48c5-902f-e3e97d24f237,Transport,Modified Attributes,Hardwick Hill,,6bda2b7a-aae1-47a7-8098-4be25835c895,Pavement,2023-11-10,,,A Road Primary,27.743,,,Urban,,,,A48,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2020-11-12,Automated Process,3.62,0.8
0,"LINESTRING (-1.45635 53.2317413, -1.4562281 53.2317594)",10547c29-212b-42f4-9958-dbf25d4ec864,Transport,New,Chatsworth Road,,aef1425a-4278-4c19-94bb-983737881fc2,Pavement,2023-09-14,,,A Road Primary,8.387,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2015-07-03,Automated Process,1.7,1.18
1,"LINESTRING (-1.4562281 53.2317594, -1.4559751 53.2317971)",1a8dced8-ba96-40ba-b642-bee408a6ae53,Transport,New,Chatsworth Road,,b498deed-0516-4601-b244-f5277ede1340,Pavement,2023-09-14,,,A Road Primary,17.398,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-03-29,Automated Process,2.51,1.21
2,"LINESTRING (-1.4564417 53.2314482, -1.4564093 53.2313666)",211e0cbf-7bbe-4712-836a-a851f7f1c9e2,Transport,Modified Attributes,Chapel Lane West,,5dd5586c-dca2-42dd-bbab-c7d3d0649b5d,Pavement,2023-12-08,,,Local Road,9.326,,,Urban,,,,,2023-12-09T00:00:00Z,Ordnance Survey,Right,2023-12-04,2009-09-24,Automated Process,0.88,0.74
3,"LINESTRING (-1.4569529 53.2316492, -1.4568519 53.2316648)",27fc562b-ed56-4d5e-a199-edec72dcb32f,Transport,New,Chatsworth Road,,5346ea65-0fc9-45cb-b6d0-1fa20e442774,Pavement,2023-09-14,,,A Road Primary,6.959,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2015-07-03,Automated Process,1.65,1.08
4,"LINESTRING (-1.4568519 53.2316648, -1.4565466 53.231712)",348c68c0-1eb6-46d1-b99c-f54f7921ef4e,Transport,Modified Attributes,Chatsworth Road,,5578dd01-90d9-49b4-b798-60490cebe093,Pavement,2023-11-10,,,A Road Primary,21.044,,,Urban,,,,A619,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2020-12-14,Automated Process,2.57,1.1
5,"LINESTRING (-1.456509 53.2317176, -1.45635 53.2317413)",37b8276e-2717-4b3d-a526-3bfd721f6f96,Transport,New,Chatsworth Road,,b724efaa-ecc5-492b-b052-bb3d42cdf6f4,Pavement,2023-11-10,,,A Road Primary,10.94,,,Urban,,,,A619,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2015-07-03,Automated Process,1.61,1.25
6,"LINESTRING (-1.4562281 53.2317594, -1.4559751 53.2317971)",3bb2e92c-cfe9-47d9-8d67-65243dab8247,Transport,New,Chatsworth Road,,b498deed-0516-4601-b244-f5277ede1340,Pavement,2023-09-14,,,A Road Primary,17.398,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2015-07-03,Automated Process,1.97,1.29
7,"LINESTRING (-1.4564417 53.2314482, -1.4563859 53.2313078)",5aa155a2-7886-4176-82b0-5308b2f1de76,Transport,Modified Attributes,Chapel Lane West,,5dd5586c-dca2-42dd-bbab-c7d3d0649b5d,Pavement,2023-12-08,,,Local Road,16.057,,,Urban,,,,,2023-12-09T00:00:00Z,Ordnance Survey,Left,2023-12-04,2015-07-03,Automated Process,1.09,1.09
8,"LINESTRING (-1.4565275 53.2316639, -1.4565195 53.2316437)",61ee6f5c-2f63-4934-8a42-8e9021761733,Transport,Modified Attributes,Chapel Lane West,,4a7b8ba7-6b5c-4e41-acfe-e75dc993537f,Pavement,2023-12-08,,,Local Road,2.315,,,Urban,,,,,2023-12-09T00:00:00Z,Ordnance Survey,Right,2023-12-04,2015-07-03,Automated Process,1.42,1.1
9,"LINESTRING (-1.4574475 53.2315728, -1.4569529 53.2316492)",61ef1435-781a-4c28-84af-fb7820bcfbf3,Transport,New,Chatsworth Road,,e18027ee-d238-496b-80e4-e22b5ce1069d,Pavement,2023-11-10,,,A Road Primary,34.097,,,Urban,,,,A619,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2020-12-14,Automated Process,2.99,1.26
10,"LINESTRING (-1.4577497 53.2325258, -1.4576505 53.2320855, -1.4575181 53.2316032)",737abf64-f41f-4c4f-95db-9f0485aadbe1,Transport,New,Heaton Street,,1da4a1d3-b751-458d-8467-63030093852a,Pavement,2023-09-14,,,Local Road,103.819,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-03-29,Automated Process,1.98,1.22
11,"LINESTRING (-1.4575073 53.2315635, -1.4569529 53.2316492)",7e9c5e11-c6b6-488a-9133-68f15e20895b,Transport,Modified Attributes,Chatsworth Road,,e18027ee-d238-496b-80e4-e22b5ce1069d,Pavement,2023-11-10,,,A Road Primary,38.216,,,Urban,,,,A619,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2015-07-03,Automated Process,2.08,1.34
12,"LINESTRING (-1.4568519 53.2316648, -1.4565769 53.2317073)",8190a411-8556-40bf-9e52-a594a48996c2,Transport,Modified Attributes,Chatsworth Road,,5578dd01-90d9-49b4-b798-60490cebe093,Pavement,2023-11-10,,,A Road Primary,18.955,,,Urban,,,,A619,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2015-07-03,Automated Process,1.93,1.08
13,"LINESTRING (-1.4569529 53.2316492, -1.4568519 53.2316648)",87e99ecc-6de7-46df-a999-2f2583c48cae,Transport,New,Chatsworth Road,,5346ea65-0fc9-45cb-b6d0-1fa20e442774,Pavement,2023-09-14,,,A Road Primary,6.959,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2020-12-14,Automated Process,3.01,1.1
14,"LINESTRING (-1.4564502 53.2314696, -1.4564417 53.2314482)",a3d0164e-90e9-4009-b32f-8091b11413b9,Transport,Modified Attributes,Chapel Lane West,,4a7b8ba7-6b5c-4e41-acfe-e75dc993537f,Pavement,2023-12-08,,,Local Road,2.449,,,Urban,,,,,2023-12-09T00:00:00Z,Ordnance Survey,Right,2023-12-04,2009-09-24,Automated Process,0.46,0.46
15,"LINESTRING (-1.4582095 53.2314574, -1.4575419 53.2315583)",a8a86291-5d37-4a1f-8e85-5a8900786ac6,Transport,New,Chatsworth Road,,3705314a-2ccf-4dd8-8749-307d777a50c4,Pavement,2023-09-14,,,A Road Primary,45.96,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-03-29,Automated Process,3.08,1.31
16,"LINESTRING (-1.4563369 53.2317432, -1.4562281 53.2317594)",cbde54c8-a932-40be-a9aa-a395b0c44bac,Transport,New,Chatsworth Road,,aef1425a-4278-4c19-94bb-983737881fc2,Pavement,2023-09-14,,,A Road Primary,7.485,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-03-29,Automated Process,1.92,1.2
17,"LINESTRING (-1.4575774 53.2315529, -1.4575073 53.2315635)",f4ccccf5-a574-4bb0-b96e-1c2e85d34b87,Transport,New,Chatsworth Road,,3705314a-2ccf-4dd8-8749-307d777a50c4,Pavement,2023-09-14,,,A Road Primary,4.826,,,Urban,,,,A619,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2015-07-03,Automated Process,1.37,1.13
18,"LINESTRING (-1.4577441 53.232501, -1.4576505 53.2320855, -1.4575211 53.2316141)",f6615e73-b6dd-4a18-86bb-b3c58b4b1053,Transport,New,Heaton Street,,1da4a1d3-b751-458d-8467-63030093852a,Pavement,2023-09-14,,,Local Road,99.795,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2020-12-14,Automated Process,1.91,0.96
19,"LINESTRING (-1.4565466 53.231712, -1.4563843 53.2317362)",f9282a90-85cf-4594-9a3c-32537f253d76,Transport,Modified Attributes,Chatsworth Road,,b724efaa-ecc5-492b-b052-bb3d42cdf6f4,Pavement,2023-11-10,,,A Road Primary,11.167,,,Urban,,,,A619,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2020-12-14,Automated Process,2.51,1.34
20,"LINESTRING (-1.4565279 53.2316648, -1.4564417 53.2314482)",feac865c-887a-4d16-b58c-f1fc8cc4393e,Transport,Modified Attributes,Chapel Lane West,,4a7b8ba7-6b5c-4e41-acfe-e75dc993537f,Pavement,2023-12-08,,,Local Road,24.78,,,Urban,,,,,2023-12-09T00:00:00Z,Ordnance Survey,Left,2023-12-04,2015-07-03,Automated Process,1.32,1.16
0,"LINESTRING (-1.7806796 50.7355185, -1.7805391 50.7355017)",028c078c-8fdd-431f-8223-00fdb91bdbce,Transport,New,Barrack Road,,b99c14d1-ec0d-49b9-a006-e9e29ae2bee5,Pavement,2023-09-14,,,A Road,10.093,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-04-07,Automated Process,1.65,1.48
1,"LINESTRING (-1.7804082 50.7354931, -1.7803158 50.7354876)",03e79c0e-4340-43cd-a9d8-b7472ac99438,Transport,Modified Attributes,Barrack Road,,c7fe95ee-0b60-48a6-b551-904ba7d52b31,Pavement,2023-11-10,,,A Road,6.55,,,Urban,,,,A35,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-05-29,Automated Process,2.2,1.12
2,"LINESTRING (-1.7815015 50.7356239, -1.7814462 50.7356166)",0c8fc4f9-2f0b-41c2-88a7-fee7f44bd83e,Transport,New,Barrack Road,,ff71e9cc-2f21-4d52-b69c-ebf05fa71415,Pavement,2023-09-14,,,A Road,3.983,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-04-07,Automated Process,1.58,1.18
3,"LINESTRING (-1.7813178 50.7355998, -1.7809645 50.7355535)",10aa12b2-220b-45a2-b8d7-bc276a06a48a,Transport,New,Barrack Road,,498cf1a7-1e03-4b84-b0ec-73a1b11f2eaa,Pavement,2023-09-14,,,A Road,25.458,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-04-07,Automated Process,2.52,1.54
4,"LINESTRING (-1.7806784 50.7355183, -1.7804989 50.7354969)",38b13f0d-313a-4918-822b-58323a3a091f,Transport,New,Barrack Road,,b99c14d1-ec0d-49b9-a006-e9e29ae2bee5,Pavement,2023-09-14,,,A Road,12.888,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-29,Automated Process,1.48,0.45
5,"LINESTRING (-1.7808665 50.7355506, -1.7808262 50.7355613, -1.7808238 50.7355619, -1.7808001 50.7355593)",3926ae8b-b62e-4e52-95bc-a4cc65b76c47,Transport,New,Barrack Road,,f2ff5e2f-af05-4bee-bce4-f35e8bcdf2f1,Pavement,2023-09-14,,,A Road,4.961,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-04-07,Automated Process,1.89,0.98
6,"LINESTRING (-1.7815015 50.7356239, -1.7814462 50.7356166)",40012f11-5b28-4069-b3d2-1855b12d950f,Transport,New,Barrack Road,,ff71e9cc-2f21-4d52-b69c-ebf05fa71415,Pavement,2023-09-14,,,A Road,3.983,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-29,Automated Process,1.59,1.32
7,"LINESTRING (-1.7808915 50.7355439, -1.7808361 50.7355161, -1.7808359 50.7355161, -1.7807485 50.7355068, -1.7807481 50.7355069, -1.7807043 50.7355143)",41c79b9a-1d8d-4da9-9164-a2c363fe2d19,Transport,New,Barrack Road,,99720a50-4a4c-40c1-9e06-1b5c0b9e9bc0,Pavement,2023-09-14,,,A Road,14.486,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-29,Automated Process,2.21,1.02
8,"LINESTRING (-1.7802166 50.7354809, -1.7800369 50.7354688, -1.7799198 50.7354609)",43aa6108-4e4c-48f3-af61-0ccfffc79fa0,Transport,New,Barrack Road,,780683fc-73d2-4ed9-9b7c-9d244bbfc0be,Pavement,2023-11-10,,,A Road,21.061,,,Urban,,,,A35,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-05-29,Automated Process,2.33,1.12
9,"LINESTRING (-1.7816497 50.7356433, -1.7815015 50.7356239)",46ceefdb-a312-4ce6-bd19-8858710a9d8a,Transport,New,Barrack Road,,15760f54-9c1f-4cdf-9847-b0bc95142e88,Pavement,2023-09-14,,,A Road,10.678,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-29,Automated Process,2.17,1.47
10,"LINESTRING (-1.7804864 50.7354969, -1.7804706 50.7354968, -1.7803148 50.7354876)",49646426-bca7-48c0-a9a6-85908e6d46db,Transport,Modified Attributes,Barrack Road,,c7fe95ee-0b60-48a6-b551-904ba7d52b31,Pavement,2023-11-10,,,A Road,12.161,,,Urban,,,,A35,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-05-29,Automated Process,2.1,1.26
11,"LINESTRING (-1.7813178 50.7355998, -1.7809645 50.7355535)",4e2cedfd-becc-4262-8f8f-41ae3c6e9bc1,Transport,New,Barrack Road,,498cf1a7-1e03-4b84-b0ec-73a1b11f2eaa,Pavement,2023-09-14,,,A Road,25.458,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-29,Automated Process,2.36,1.49
12,"LINESTRING (-1.7808915 50.7355439, -1.7808361 50.7355161, -1.7808359 50.7355161, -1.7808122 50.7355136, -1.7807717 50.7355093, -1.7807485 50.7355068, -1.7807481 50.7355069, -1.7806796 50.7355185)",59eb68e8-d431-4cfd-8cd1-e24b3394ebf4,Transport,New,Barrack Road,,99720a50-4a4c-40c1-9e06-1b5c0b9e9bc0,Pavement,2023-09-14,,,A Road,16.287,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-04-07,Automated Process,1.38,1.22
13,"LINESTRING (-1.7804375 50.7355901, -1.7804288 50.7356066, -1.7804125 50.7356377, -1.7803885 50.7356723)",5c1c91d2-e09b-4613-a4ee-23e4de21ec29,Transport,New,,,32b48d1a-65ce-4b1d-aea2-e5f3bbf85650,Pavement,2023-09-14,,,Local Access Road,9.791,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-29,Automated Process,2.81,0.95
14,"LINESTRING (-1.7803148 50.7354876, -1.7802166 50.7354809)",61644bfa-6436-408e-8523-a648f1103bd6,Transport,New,Barrack Road,,149a6f64-1ed1-46bb-827f-b83ac0783f29,Pavement,2023-09-14,,,A Road,6.968,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-29,Automated Process,1.95,1.31
15,"LINESTRING (-1.7815621 50.7356318, -1.7815015 50.7356239)",666b5625-6057-4205-a297-f1b2180be3e3,Transport,New,Barrack Road,,15760f54-9c1f-4cdf-9847-b0bc95142e88,Pavement,2023-09-14,,,A Road,4.367,,,Urban,,,,A35,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-04-07,Automated Process,1.63,0.99
